gene	transcript	chr	strand	txStart	txStop	cdsStart	cdsStop	exonCount	exonStarts	exonStops	start	stop	score
MIR7641-2	NR_106988	chr1	-	228748285	228748335	228748335	228748335	1	228748285,	228748335,	228748285	228748335	1000
MIR7641-2	NR_106988	chr1	-	228750526	228750576	228750576	228750576	1	228750526,	228750576,	228750526	228750576	1000
MIR7641-2	NR_106988	chr1	-	228752767	228752817	228752817	228752817	1	228752767,	228752817,	228752767	228752817	1000
MIR7641-2	NR_106988	chr1	-	228755008	228755058	228755058	228755058	1	228755008,	228755058,	228755008	228755058	1000
MIR7641-2	NR_106988	chr1	-	228757223	228757273	228757273	228757273	1	228757223,	228757273,	228757223	228757273	1000
MIR7641-2	NR_106988	chr1	-	228759443	228759493	228759493	228759493	1	228759443,	228759493,	228759443	228759493	1000
MIR7641-2	NR_106988	chr1	-	228761685	228761735	228761735	228761735	1	228761685,	228761735,	228761685	228761735	1000
MIR7641-2	NR_106988	chr1	-	228779585	228779635	228779635	228779635	1	228779585,	228779635,	228779585	228779635	1000
MIR7641-2	NR_106988	chr1	-	228781816	228781866	228781866	228781866	1	228781816,	228781866,	228781816	228781866	1000
MIR4454	NR_039659	chr1	-	229310429	229310548	229310548	229310548	2	229310429,229310536,	229310469,229310548,	229310429	229310548	1000
NXF2B	NM_001099686	chrX	-	101615315	101694929	101615521	101634957	23	101615315,101615712,101618183,101618900,101619573,101619711,101619965,101620144,101620383,101620525,101620974,101622689,101622978,101623206,101623451,101623707,101623903,101624119,101624506,101624883,101634914,101693473,101694790,	101615566,101615773,101618366,101618973,101619616,101619827,101620024,101620252,101620439,101620594,101621011,101622799,101623086,101623295,101623521,101623788,101624008,101624203,101624657,101625073,101635010,101693595,101694929,	101615315	101694929	1000
RHOXF2B	NM_001099685	chrX	-	119206228	119211658	119206480	119211517	4	119206228,119209864,119210841,119211438,	119206810,119209910,119211253,119211658,	119206228	119211658	1000
RHOXF2B	NM_001099685	chrX	+	119292515	119297945	119292656	119297693	4	119292515,119292920,119294263,119297363,	119292735,119293332,119294309,119297945,	119292515	119297945	1000
FAM156B	NM_001099684	chrX	+	52928084	52937585	52936252	52936894	3	52928084,52929596,52936135,	52928567,52929686,52937585,	52928084	52937585	1000
FAM156B	NM_001099684	chrX	-	52976463	52985953	52977154	52977796	3	52976463,52984351,52985470,	52977913,52984441,52985953,	52976463	52985953	1000
HIST2H4A	NM_003548	chr1	+	149804220	149804616	149804248	149804560	1	149804220,	149804616,	149804220	149804616	1000
HIST2H4A	NM_003548	chr1	-	149832329	149832725	149832385	149832697	1	149832329,	149832725,	149832329	149832725	1000
MIR7641-2	NR_106988	chr10	-	327976	328026	328026	328026	1	327976,	328026,	327976	328026	1000
MIR4454	NR_039659	chr10	+	6677031	6677083	6677083	6677083	1	6677031,	6677083,	6677031	6677083	1000
RNU6-2	NR_125730	chr10	+	13259268	13259375	13259375	13259375	1	13259268,	13259375,	13259268	13259375	1000
PRR23D2	NM_001282478	chr8	-	7636112	7638935	7636682	7638758	4	7636112,7637543,7637856,7638681,	7637315,7637611,7637918,7638935,	7636112	7638935	1000
SNORA74C-1	NR_145721	chr10	+	51383523	51383727	51383727	51383727	1	51383523,	51383727,	51383523	51383727	1000
SNORA74C-2	NR_145778	chr10	+	51383523	51383727	51383727	51383727	1	51383523,	51383727,	51383523	51383727	1000
SNORA74C-1	NR_145721	chr10	-	51611022	51611226	51611226	51611226	1	51611022,	51611226,	51611022	51611226	1000
SNORA74C-2	NR_145778	chr10	-	51611022	51611226	51611226	51611226	1	51611022,	51611226,	51611022	51611226	1000
NXF2B	NM_001099686	chrX	+	101502093	101581634	101562040	101581428	23	101502093,101503429,101561987,101571919,101572335,101572789,101572984,101573204,101573431,101573657,101573866,101574153,101575938,101576355,101576510,101576697,101576925,101577122,101577333,101577976,101578583,101581176,101581383,	101502232,101503551,101562083,101572109,101572486,101572873,101573089,101573285,101573501,101573746,101573974,101574263,101575975,101576424,101576566,101576805,101576984,101577238,101577376,101578049,101578766,101581237,101581634,	101502093	101581634	1000
MAGEA9	NM_005365	chrX	-	148663308	148669109	148663887	148664835	4	148663308,148664975,148665202,148669050,	148664900,148665044,148665289,148669109,	148663308	148669109	1000
MAGEA9	NM_005365	chrX	+	148863599	148869399	148867872	148868820	4	148863599,148867418,148867663,148867807,	148863658,148867505,148867732,148869399,	148863599	148869399	1000
TBC1D3E	NM_001291466	chr17	-	36337710	36348607	36338025	36347081	14	36337710,36339575,36340098,36340661,36341111,36341919,36342583,36343885,36344324,36344875,36345438,36346761,36347009,36348510,	36338594,36339728,36340198,36340727,36341206,36342040,36342632,36343995,36344432,36344956,36345478,36346847,36347082,36348607,	36337710	36348607	1000
SPRY3	NM_005840	chrX	+	154997396	155012119	155003533	155004400	2	154997396,155003427,	154997798,155012119,	154997396	155012119	1000
SPRY3	NM_005840	chrY	+	59100402	59115125	59106539	59107406	2	59100402,59106433,	59100804,59115125,	59100402	59115125	1000
HSFX1	NM_016153	chrX	-	148674182	148676974	148674251	148676360	2	148674182,148675796,	148674959,148676974,	148674182	148676974	1000
XKRY	NM_004677	chrY	-	19880859	19882440	19881423	19881777	1	19880859,	19882440,	19880859	19882440	1000
PRAMEF18	NM_001099850	chr1	-	13328195	13698405	13328832	13698358	3	13328195,13330413,13698071,	13329406,13330992,13698405,	13328195	13698405	1000
GTF2IRD2	NM_173537	chr7	-	74210482	74267872	74211000	74251500	16	74210482,74216325,74217638,74219117,74221274,74223444,74225429,74227271,74234083,74234498,74236954,74237151,74239461,74247927,74251401,74267662,	74212604,74216354,74217822,74219201,74221352,74223510,74225486,74227349,74234127,74234553,74236983,74237335,74239581,74248066,74251505,74267872,	74210482	74267872	1000
GTF2IRD2	NM_173537	chr7	+	74508346	74565623	74524756	74565103	16	74508346,74524751,74528190,74536691,74538936,74539288,74541716,74542142,74548942,74550810,74552591,74554757,74556909,74558288,74559756,74563499,	74508556,74524855,74528329,74536811,74539120,74539317,74541771,74542186,74549020,74550867,74552657,74554835,74556993,74558472,74559785,74565623,	74508346	74565623	1000
HSFX1	NM_016153	chrX	+	148855725	148858517	148856339	148858448	2	148855725,148857740,	148856903,148858517,	148855725	148858517	1000
LIMS4	NM_001205288	chr2	+	110656008	110664033	110656305	110663468	3	110656008,110660829,110663456,	110656487,110660989,110664033,	110656008	110664033	1000
FAM45BP	NR_027141	chr10	+	120863628	120897376	120897376	120897376	9	120863628,120867479,120871360,120877030,120879852,120882980,120889026,120892026,120895982,	120863709,120867676,120871440,120877179,120879964,120883081,120889134,120892121,120897376,	120863628	120897376	1000
PRAMEF18	NM_001099850	chr1	+	13035498	13039011	13035548	13038381	3	13035498,13036221,13037807,	13035835,13036800,13039011,	13035498	13039011	1000
FAM236B	NM_001348073	chrX	+	72158002	72158798	72158102	72158673	3	72158002,72158327,72158645,	72158138,72158491,72158798,	72158002	72158798	1000
FAM236B	NM_001348072	chrX	-	72001688	72002484	72001813	72002384	3	72001688,72001995,72002348,	72001841,72002171,72002484,	72001688	72002484	1000
NPIPA8	NM_001349948	chr16	+	16469903	16487829	16473101	16487780	9	16469903,16473032,16477520,16481255,16481518,16484623,16485747,16485917,16487312,	16470913,16473164,16477649,16481355,16481663,16484731,16485808,16485953,16487829,	16469903	16487829	1000
FAM236B	NM_001348073	chrX	-	72001688	72002484	72001813	72002384	3	72001688,72001995,72002348,	72001841,72002159,72002484,	72001688	72002484	1000
MAGED4B	NM_030801	chrX	-	51804922	51812368	51805124	51811268	13	51804922,51805329,51806082,51807142,51807596,51807724,51808425,51808905,51809178,51809345,51809960,51811058,51812225,	51805134,51805760,51806197,51807205,51807639,51807804,51808517,51808985,51809242,51809549,51810794,51811299,51812368,	51804922	51812368	1000
ASMT	NM_001171038	chrX	+	1733940	1761974	1734092	1761907	9	1733940,1742031,1743161,1746595,1748713,1751596,1752042,1755330,1761695,	1734161,1742206,1743291,1746664,1748832,1751680,1752183,1755453,1761974,	1733940	1761974	1000
RGPD6	NM_001123363	chr2	-	111271378	111336309	111273187	111334601	24	111271378,111281072,111283841,111291041,111293992,111297631,111300935,111301112,111302236,111302645,111303049,111304130,111304421,111304680,111306969,111309300,111315428,111320188,111320679,111324952,111325540,111327233,111334529,111336077,	111273222,111281274,111283981,111293265,111294087,111297767,111301019,111301292,111302383,111302783,111303208,111304254,111304597,111304862,111307179,111309388,111315624,111320334,111320910,111325105,111325652,111327301,111334902,111336309,	111271378	111336309	1000
SSX4	NM_005636	chrX	+	48242967	48252785	48243494	48251411	8	48242967,48243474,48244002,48244793,48246752,48248787,48251310,48252197,	48243005,48243563,48244117,48244889,48246802,48248923,48251415,48252785,	48242967	48252785	1000
SSX4	NM_005636	chrX	-	48261523	48271344	48262897	48270814	8	48261523,48262893,48265385,48267507,48269420,48270192,48270745,48271306,	48262111,48262998,48265521,48267557,48269516,48270307,48270834,48271344,	48261523	48271344	1000
MAGED4	NM_001098800	chrX	-	51804922	51812368	51805325	51811268	13	51804922,51805317,51806082,51807142,51807596,51807724,51808425,51808905,51809178,51809345,51809960,51811058,51812225,	51805134,51805760,51806197,51807205,51807639,51807804,51808517,51808985,51809242,51809549,51810794,51811269,51812368,	51804922	51812368	1000
MIR1234	NR_031600	chr11	-	65554464	65554484	65554484	65554484	1	65554464,	65554484,	65554464	65554484	1000
SSX2B	NM_001164417	chrX	-	52725945	52736276	52727037	52734799	8	52725945,52727033,52729492,52731630,52733546,52734177,52734730,52736161,	52726568,52727138,52729628,52731680,52733642,52734292,52734819,52736276,	52725945	52736276	1000
MIR3163	NR_036121	chr11	-	66701904	66701977	66701977	66701977	1	66701904,	66701977,	66701904	66701977	1000
MIR4459	NR_039664	chr11	+	72590964	72604767	72604767	72604767	3	72590964,72591388,72604724,	72590979,72591393,72604767,	72590964	72604767	1000
RHOXF2	NM_032498	chrX	+	119292466	119297945	119292656	119297693	4	119292466,119292920,119294263,119297363,	119292735,119293332,119294309,119297945,	119292466	119297945	1000
BPY2	NM_004678	chrY	-	27177049	27198251	27184244	27190170	9	27177049,27177463,27184138,27184955,27187915,27190092,27194620,27197822,27198220,	27177369,27177588,27184263,27185061,27188033,27190211,27194757,27197945,27198251,	27177049	27198251	1000
PRY	NM_004676	chrY	-	24217902	24242154	24218469	24230986	5	24217902,24228226,24230917,24241878,24242066,	24218728,24228342,24231038,24241965,24242154,	24217902	24242154	1000
PRY	NM_004676	chrY	+	24636543	24660784	24647711	24660217	5	24636543,24636732,24647659,24650355,24659958,	24636631,24636819,24647780,24650471,24660784,	24636543	24660784	1000
FAM236B	NM_001348072	chrX	+	72158002	72158798	72158102	72158673	3	72158002,72158315,72158645,	72158138,72158491,72158798,	72158002	72158798	1000
TRIM53AP	NR_028346	chr11	+	89575164	89584136	89584136	89584136	7	89575164,89577931,89578631,89580466,89581398,89582277,89583462,	89575355,89578346,89578727,89580697,89581421,89582375,89584136,	89575164	89584136	1000
TRIM51EP	NR_146921	chr11	+	89586009	89596233	89596233	89596233	7	89586009,89588116,89588814,89590729,89591678,89592647,89595561,	89586095,89588531,89588910,89590960,89591774,89592745,89596233,	89586009	89596233	1000
TRIM51EP	NR_146921	chr11	-	89714612	89724838	89724838	89724838	7	89714612,89718099,89719070,89719885,89721937,89722316,89724752,	89715284,89718197,89719166,89720116,89722033,89722731,89724838,	89714612	89724838	1000
TRIM53AP	NR_028346	chr11	-	89726708	89735676	89735676	89735676	7	89726708,89728471,89729425,89730149,89732113,89732494,89735485,	89727384,89728569,89729448,89730380,89732209,89732909,89735676,	89726708	89735676	1000
RHOXF2	NM_032498	chrX	-	119206228	119211707	119206480	119211517	4	119206228,119209864,119210841,119211438,	119206810,119209910,119211253,119211707,	119206228	119211707	1000
